Cure,Mu,Sigma,
0.294451,3.106663,-0.210858,SM
-0.599119,3.319795,0.346254,SM
-18.664709,3.469661,0.313749,SM
-0.698865,2.479375,-0.079466,SM
-0.395041,3.042898,0.174395,SM
-1.307943,2.90385,0.080671,SM
-3.324467,2.966682,0.404743,SM
-3.832446,2.402996,0.241921,SM
-0.9979,3.009855,0.082379,SM
-3.293038,3.030641,0.279406,SM
-1.84591,2.604854,0.187397,SM
-2.259411,2.211862,0.082866,SM
-4.615518,3.02051,0.221506,SM
-2.616735,2.588194,0.073011,SM
-21.254087,2.424616,0.174333,SM
-3.353625,1.804109,0.164465,SM
-5.484677,2.708586,0.209364,SM
-21.972792,2.414156,0.265531,SM
-22.136855,2.065718,0.231979,SM
-21.743888,1.370234,0.258396,SM
-23.948189,1.819259,0.122059,SM
-24.214666,1.686023,0.134479,SM
-24.149864,1.435753,0.166479,SM
-23.108322,1.043949,0.152925,SM
-19.965761,5.717664,0.517242,AD
-20.706021,5.374954,0.55173,AD
-20.836142,5.132518,0.595477,AD
-19.778989,4.542903,0.560893,AD
-0.962647,4.226883,0.305117,AD
-20.846598,4.485268,0.432932,AD
-20.717691,4.447957,0.584504,AD
-2.620574,3.665449,0.538495,AD
-19.746509,4.067111,0.350981,AD
-20.568168,3.881378,0.255855,AD
-20.552782,3.513438,0.369687,AD
-19.756803,2.991648,0.232803,AD
-2.260025,3.152689,0.23434,AD
-2.595768,3.075442,0.231832,AD
-21.366482,2.974759,0.27191,AD
-20.447854,2.632283,0.308254,AD
-2.736091,2.435977,0.234114,AD
-3.533893,2.579761,0.371127,AD
-3.859603,2.290386,0.358098,AD
-3.94045,1.704085,0.291058,AD
-6.668322,1.96624,0.169523,AD
-4.138283,1.816271,0.148616,AD
-3.534907,1.617558,0.144586,AD
-3.63303,1.372201,0.099227,AD
-0.270616,4.3236,0.45715,SQ
-20.281217,5.054022,0.6313,SQ
-20.414142,4.756904,0.659662,SQ
-19.867567,3.973461,0.48935,SQ
-0.988665,3.413442,0.336914,SQ
-0.795931,3.484903,0.391438,SQ
-1.15691,3.282104,0.350924,SQ
-2.872544,2.995822,0.357342,SQ
-1.020794,3.335163,0.221836,SQ
-1.294793,3.326713,0.272614,SQ
-1.356791,2.886852,0.231174,SQ
-1.204449,2.275434,0.099471,SQ
-1.279408,2.629891,0.021323,SQ
-2.243923,2.848103,0.223093,SQ
-3.25994,2.541341,0.202038,SQ
-4.588066,2.254969,0.194854,SQ
